,0,1,2,3,4,5,6
10,리얼 히알루로닉 100 토너,호잇자,16세,지성,여,4,웰라쥬가 가성비가 좋아서 애용하는데 이번에도 너무 잘 씀 공병 세 개임 ㅎㅎ 웰라쥬 짱
11,리얼 히알루로닉 100 토너,jerry33,29세,민감성,여,5,점성이 있어 바를 때 살짝 끈적이긴한데  속부터 수분감을 채워주는 기분이라 좋아요  
12,리얼 히알루로닉 100 토너,채형원부인,24세,지성,여,4,그냥 무난무난해요 앰플도 무난하게 썼는데 챱챱 발라주기 좋습니다
13,리얼 히알루로닉 100 토너,모찌투투,24세,복합성,여,4,예민하게 반응 하지 않고 닦토로 딱인 토너에요!~^^ 한 번 사용해보셔도 데일리로  좋은 제품이것 같네요
14,리얼 히알루로닉 100 토너,아니왜아직도여름,37세,건성,여,5,"고보습 토너. 악건성, 속건성 피부에 적합함. 살짝 찐득함이 있어서 여름에는 소량 사용."
15,리얼 히알루로닉 100 토너,991나나na,43세,복합성,여,4,자극없이 수분감 채우기 좋아요  화장솜에 담뿍 적셔 닦아 두드려 흡수시켜주면 촉촉하게 수분감 채워줘서 잘쓰고있어요 :-)
16,리얼 히알루로닉 100 토너,slseky,41세,복합성,여,5,수분 채워주는데 좋다는 걸 보고 구매했는데 아침에 세수하고 바르기 너무 좋아요. 제형이 무겁지않아서 산뜻하게 흡수 잘되고 메이크업 할때 속건조 없이 쫀쫀하게 잘 먹게 해주는것 같아요. 강추입니다~~
17,리얼 히알루로닉 100 토너,윈터지,29세,복합성,여,5,"수분감이 진짜 짱짱해서 사계절 전부 사용가능하지만 저는 특히 여름철에 너무너무 추천하는 제품이에요!  화장품 냉장고에 넣어두고 시원하게 썼을 때, 진정력이나 수분보습 충전력도 빠르고 탄탄한 제품인데다가 용량 자체도 대용량이라 한참 쓰더라구요!  끈적이거나 점성감이 있는 제품이 아니라 데일리하게 쓰기 정말 좋았어요!"
18,리얼 히알루로닉 100 토너,beauty_luv,18세,지성,여,5,속건조 심하다? 무조건 이 토너예요! 가벼운 물 제형이라 부담감없이 사용하기에 좋고 특히 여러번 레이어링 해서 발라도 밀림이 없고 흡수가 잘 된다는 점이 가장 큰 장점이에요! 수분감이 넘쳐서 화장 전에 사용해도 아주 좋아요!
19,리얼 히알루로닉 100 토너,두두몬스터,35세,복합성,여,5,흡수빠르고 촉촉한편입니다  여름에 수영장 다니면서 사용 했는데  수부지에 끈적거리는 걸 싫어해서 이것만 바르고 선크림 바르고 나와도 괜찮아서 맘에 들었습니다  여름에 선크림 안바를 때는 여러겹 덧바르거나  가벼운 크림 하나만 발라줘도 될거 같아요 
20,리얼 히알루로닉 100 토너,재히히힣,30세,지성,여,5,히알루로닉이 붙은 토너라 그런가 수분 진짜 짱짱하게 채워주는 거 같아요! 끈적이지도않고 완전 물토너 제형입니다. 재구매의사 있어요~
21,리얼 히알루로닉 100 토너,은덩뎡,30세,복합성,여,4,"장점 💚바르면 사라지는 물토너와는 달리 깊게 흡수돼 빠르게 속부터 수분을 채워줍니다 💚오일리하지 않고, 마무리가 깔끔합니다! 끈적임도 느껴지지 않아 무난하게 데일리로 사용하기 좋아요  단점 💚점성이 전혀 없고 물 같은 제형으로 손에 덜어 흡토로 사용 시 잘 흘러내려 사용하기에 번거롭고 불편합니다"
22,리얼 히알루로닉 100 토너,에나세브,22세,건성,여,4,수분감 넘치는 토너이고 끈적임이 없어서 너무  좋았어용 흡수도 잘 되서 👍👍
23,리얼 히알루로닉 100 토너,뀨다미,29세,건성,여,5,엄청 물이에요 근데 그냥 스킨 토너랑 다르게 한번만 얼굴에 올려도 안땡겨서 저는 진짜 편하게 데일리로 슥슥 바르고 위에 크림 바르거나 앰플바르거나 했어요 향도 무향이라서 더 좋았던거 같아요 이걸 바르고 메에크업은 안해봐서 밀리는건 모르겜ㅅ네요 근데 선크림을 올릴땐 밀린적은 없어요
24,리얼 히알루로닉 100 토너,진쥬진쥬,28세,복합성,여,5,올영라이브때 사봤는데 귀찮을때 이거 하나만 세겹쯤 발라주면 생각보다 안건조해요
25,리얼 히알루로닉 100 토너,까탈녀인,33세,복합성,여,4,평타치고  수분감 충분한 토너. 근데 특별한진 모르겠고 무난한 괜찮은 토너.. 전형적인 히알루론산 토너 느낌. 샘플링으로 제공받았음.
26,리얼 히알루로닉 100 토너,쮸꾸리,30세,건성,여,4,같은 라인의 앰플이 촉촉하고 얘 이름 자체가 히알루로닉이어서 엄청 끈적이거나 무거운 보습감일 거라 생각했는데 생각보다 흡수가 잘 되어 겉돌지 않아요! 생각보다 더 라이트한 물토너입이다. 웰라쥬 그 캡슐 마스크? 그 1회용만 있을 때부터 잘 사용해서 믿고 쓰게 됩니다! 이 히알루로닉 라인 전 제품 써봤는데 다 마음에 들어요👍
27,리얼 히알루로닉 100 토너,글로리#EnNn1E,27세,복합성,여,4,같은 라인 앰플 좋아서 몇통째 쓰고있다가 체험단 되어서 토너도 써봤어요 토너도 촉촉하고 앰플만큼 순하고 좋아요 근데 앰플이 더 촉촉합니다 앰플도 물같은 체형이라 토너대신 써도 무방합니다
28,리얼 히알루로닉 100 토너,뿌꾸뿌꾸띵,28세,건성,여,3,저는 잘 모르겠어요. 원래 건성이어서 그런지 깊은 수분감이 느껴지지도 않고 그냥 진짜 라이트한 물토너 라고 느껴졌어요! 닦토할 때 잘 쓰는데 재구매는 안 할 거 같아요.
29,리얼 히알루로닉 100 토너,cys4,33세,중성,여,5,가볍고 깔끔한 느낌을 주는 물토너입니다. 건조함을 느낄때 2~3번 정도 가볍게 덧발라 두드려주면 피부 속 건조함을 잘 채워주는 느낌이 듭니다. 겨울에는 좀 부족한것 같지만 겨울제외하고는 두루두루 사용할 수 있습니다.
30,리얼 히알루로닉 100 토너,김지렁,29세,민감성,여,3,속건조가 있어서 사용했지만 너무 가벼워요... 여름임에도 속건조를 잡아주지 못했아여
31,리얼 히알루로닉 100 토너,베이비유진,15세,복합성,여,5,무난하게 사용할수 있는 수분 토너에용 이걸로 토너패드하면 요철 좀 사라지구 좋은거 가타요 수분 채워진게 다 느껴집니당
32,리얼 히알루로닉 100 토너,금쪽같은감자,22세,건성,여,5,"물 같이 흐르는 제형이고, 순한지 피부에 뭐 안 나서 좋았어요! 닦토 용도로 사용했는데 촉촉하고 속건조 없고 닦토한 후에 기초 쌓아주니 화장 잘 먹어서 좋아요 수분 가득한 느낌이라 저같은 건성분들이 사용하시면 좋을 거 같아요!"
33,리얼 히알루로닉 100 토너,lyg615,37세,지성,여,5,웰라쥬 히알루론산 제품은 진짜 좋은거 같아요 물같은 제형인데 엄청 촉촉해요~ 트러블도 없이 진정효과도 좋아서 약속있을때 사용합니다 히알루론산 제품 사용하면 오일리한 느낌이 있어서 꺼려했는데  유일하게 웰라쥬만 사용중임 짱! 속건조 또는 건성피부  사용해보세요~
34,리얼 히알루로닉 100 토너,나예링,32세,복합성,여,5,이름처럼 진짜 바르고 흡수시키면 수분이 쫙 흡수되는 느낌! 겉돌지않아서 좋아요 이거 쓰는날엔 메이크업이 더 잘먹는것같은:) 요즘 피부가 갑자기 급 건조해졌는데 아주 잘 쓰고 있어요
35,리얼 히알루로닉 100 토너,ahahyo,23세,복합성,여,5,수분감 넘치는 토너는 이게 최고인거같아요 냉장고에 넣어놓고 가끔 흡토하면 화장 진짜 잘먹어요 여름에
36,리얼 히알루로닉 100 토너,Samsung,35세,건성,여,4,"피부 진정, 수분 공급, 모공 축소, 피부결 개선, 클렌징 잔여물 제거."
37,리얼 히알루로닉 100 토너,앙쥬_에끌라,45세,건성,여,5,가볍지만 효과는 가볍지 않은 토너에요~화장솜에 잘 적셔서 팩처럼 사용하기도 좋아서 아침에 얼굴에 얹어놓고 머리 말리면 딱 좋아요!!
38,리얼 히알루로닉 100 토너,aaiyo,32세,건성,여,5,"처음에 별로 안촉촉한데??😩 했었는데 다 쓸 때 쯤 보니 만능템이 되어있었드아... 화장밀림, 무거움 없이 가볍게 발리고 발랐는데도 건조하다 싶으면 레어링해서 발라주면 되기 때문에 고민없이 손이 자주가는 아이템!  그렇게 쓰다보니 벌써 7,8통째 사는중 ㅋㅋㅋㅋㅋ"
39,리얼 히알루로닉 100 토너,율심이,28세,복합성,여,5,수분 부족형 지성 민감성 피부여서 기초 제품에 신경을 많이 쓰고 유목민처럼 이거저거 많이 써봤습니다 기초 바르고 얼마 후면 기름 올라오는게 싫어서 가벼우면서도 수분만 딱 충전되는 그런 스킨을 찾아 헤매고 있는데 드디어 찾은 것 같아요... 흐르는 물 제형이라 엄청 가벼워서 여러번 레이어링 해서 바르는데 자극 하나도 없고 바를수록 수분만 딱 채워지는 느낌!! 물 제형 스킨 항상 가볍긴 했지만 수분 충전이 잘되는 제품은 몇 없었던 거 같은데 얘는 확실해요 수분이 채워지는 느낌이 듭니다ㅜㅜ♡
40,리얼 히알루로닉 100 토너,바냐냐야,30세,복합성,여,5,가볍고 끈적이지 않아서 여름에 사용하기 좋아요! 그리고 무향이라 호!
41,리얼 히알루로닉 100 토너,Erini,30세,지성,여,5,피부당김 없고 속건조를 확 잡아줘서 데일리템으로 폼클렌징 세안 후에 무난하게 사용하기 너무 좋아요! 화장하기 전에도 기본템으로 피부에 수분 보충해주면 화장도 너무 잘먹고 향이 따로 강하거나 민감한 피부에도 좋게 사용할수 있는느낌입니다
42,리얼 히알루로닉 100 토너,뉘십니까,33세,복합성,여,4,저는 미스트 공병에다 덜어서 쓰는데 기초 첫단계 쓰기 좋아요 나름 촉촉하고 끈적임없이 마무리되서 자주 사용한답니다 !! 하지만 건조한걸 다 잡아주지는 못해용 ㅠ ㅠ 그래도 만족
43,리얼 히알루로닉 100 토너,느타리,25세,건성,여,4,"보습력은 잘 모르겠어요. 물처럼 주르륵 흐르는 제형인데, 미스트처럼 일시적인 수분 보충이나 진정 효과 정도는 있을 것 같아요. 여름에 간단하게 세럼이나 로션 정도만 한두가지 바르는 정도일 때 쓸 수 있을 것 같습니다."
44,리얼 히알루로닉 100 토너,여행이조아~,48세,건성,여,5,히아루론산이 너무 풍부해서 피부가 당김이 없고 수분감 충만해서 좋았어요 평소 웰리쥬를 너무 좋아하는데 모든 제품이 히알루론산이 풍부해서 피부가 촉촉해져요 재구매 각이죠~^^
45,리얼 히알루로닉 100 토너,podo091,26세,민감성,여,5,피부가 정말 예민해서 트러블이 쉽게 올라오는 수부지 피부입니다. 이 토너 사용하고 수분이 많이 채워졌어요. 특별한 효과는 없지만 그만큼 순해서 좋았어요. 이 브랜드 앰플은 맞지 않았던 걸로 기억하는데 토너는 너무 좋습니다!
46,리얼 히알루로닉 100 토너,aori__,35세,복합성,여,5,정말 정말 좋아요! 라고만 말하기엔 너무 아깝다 싶을 정도로 하고싶은 말이 많은 새로운 최애로 굳어질 토너!! 입니다 우선 피부두께가 얇고 복합성이고 화이트헤드로 고민인 제 피부엔 토너를 잘못발라도 트러블이 생기는 피부에요  예를 들면 토너에는 두가지 종류가 있는데 보습에 더 중점을 둔 에센스같은 젤타입 토너라든지 에센스토너 같은 제형을 건조하다고 발랐다가 흡수가 덜 되면 어김없이 트러블이 올라와요 지금까지 화장품 사용 경력상 그런 토너는 건조함에는 좋지만 제형상 오롯이 흡수는 되지 않고 약간 로션 바른 것 처럼 유분기가 항상 남아요   그런데 가볍지만 수분감은 주고 싶어서 물토너를 바르면 바르고 난 뒤 금방 건조한데 가끔 물 타입 토너인데 정말 여러번 덧발라도 부담스럽지 않고 오히려 수분을 머금어서 굳이 다음단계를 하지 않아도 2번 바르면 오롯이 수분만 머금어 오히려 피부결이 괜찮아보이게 하는 토너가 드물게 있는데 이 웰라쥬 리얼 히알루로닉 토너가 딱 그런 제품입니다  유분기 많은 제품 바르기는 별로고 그런데 오롯이 수분으로 가득 찬 피부가 더 촉촉해 보이게 케어하고 싶으면 2번 레이어링 해서 바르면 단계는 하나인데 피부는 더 촉촉해서 정말 망설임없이 추천하고 싶은 토너에요  그리고 더 좋은점은 기존의 히알루론산 제품들이 수분에는 좋다는 걸 알지만 대부분의 히알루론산 제품들이 특유의 끈끈한 느낌이 있어서 오히려 흡수도 더디고 트러블이 생기는 경우가 있었어요  예전에 유명했던 일본브랜드의 히알루론산 토너가 있었는데 끈끈한 젤 타입이어서 별로 좋은 줄 모르겠더라구요 그래서 이번 제품도 히알루론산인데 끈적일까봐 기대를 하지 않았는데 흡수도 잘되고 피부를 더 생기있게 만들어줘서 굉장히 만족했어요 최애 물토너로 굳어질 것 같아요!!!!
47,리얼 히알루로닉 100 토너,카일리1382,29세,복합성,여,5,성격급해서 바로 흡수되는 물제형 많이썼는데 요즘 속건조가 있어서 더 수분감 좋은걸로 바꿔봤어요 흡수시키려면 더 두드리고 시간이 들어서 귀찮지만ㅋㅋ 확실히 좋긴해요 아침보단 밤에 더 손이 가는거같아요 만족!
48,리얼 히알루로닉 100 토너,연록,20세,복합성,여,5,웰라쥬가 수분충전에 유명해서 독도토너 쓰다가 다 써가길래 한번 써봤어요!! 근데 리뷰에 촉촉하다는 말이 많아서 써봤는데 토너임에도 촉촉하더라구요 토너팩해도 순해서 그런지 아침에 이거 쓰고 하니 속건조가 없는 느낌이더라구요 다른 세럼하고 궁합도 잘 맞네요  무향이여서 더 좋아요
49,리얼 히알루로닉 100 토너,바토,28세,건성,여,4,가격 양 할인까지 하면 굿 히알루로닉 토닉 답게 순하고 촉촉한 제품입니다 웰라쥬 앰플 쓰다가 같은라인 다른것들도 궁금해서 써봤는데 역시 좋아요 여름에 딱 수분감만 집어넣기 좋은 제품입니다
50,리얼 히알루로닉 100 토너,뿌꾸뿌꾸띵,28세,건성,여,3,저는 잘 모르겠어요. 원래 건성이어서 그런지 깊은 수분감이 느껴지지도 않고 그냥 진짜 라이트한 물토너 라고 느껴졌어요! 닦토할 때 잘 쓰는데 재구매는 안 할 거 같아요.
51,리얼 히알루로닉 100 토너,김지렁,29세,민감성,여,3,속건조가 있어서 사용했지만 너무 가벼워요... 여름임에도 속건조를 잡아주지 못했아여
52,리얼 히알루로닉 100 토너,김너귤,35세,건성,여,3,완전 물같은 워터제형이라 피부에 흡수는 잘되는데 건조한 내 피부에 보습감은 살짝 아쉬웠다 진짜 물 바르는 느낌?
53,리얼 히알루로닉 100 토너,크림파슷하,32세,민감성,여,3,딱히 저는 장점을 못느꼈어요 ㅠㅠ이거 써도 피부가 건조하고 수분충족이 잘 안되는 느낌이 들어서요..대신 민감성피부이지만 자극적이지 않고 무난하게 쓸수는 있어요 드라마틱한 피부 효과는 없는듯
54,리얼 히알루로닉 100 토너,쿠로민,34세,복합성,여,3,"딱 물토너에요! 솔직히 큰 장점도 단점도 못느꼈어요 그냥저냥 무난템!???!!! 세일 때 사면 좋을 것 같은,,"
55,리얼 히알루로닉 100 토너,모데라토R,32세,건성,여,3,처음엔 엄청 괜찮다고 느꼈는데 쓰면 쓸수록 흠.. 너무 평범한 느낌이였어요.. 이게 매력이라면 매력일수도 있겠는데.. 패드에 적셔서 팩을 하는게 더 좋은것같아요 재구매는 글쎄입니다
56,리얼 히알루로닉 100 토너,낑깡공듀,27세,건성,여,3,건성에게는 너무 부족한 수분감 하지만 여름의 지성에게 추천
57,리얼 히알루로닉 100 토너,끼리맘,39세,건성,여,3,가벼운 느낌. 보습력은 부족함. 솜에 묻혀 닦어내기에 적합한 물 같은 제형. 
58,리얼 히알루로닉 100 토너,metla,42세,건성,여,3,순하고 가볍게 바를 수 있는 산뜻한 토너인데 속당김 심한 건성이라 그런지 보습감이 생각만큼 만족스럽지는 않습니다. 완전 흐르는 제형의 물토너 치고는 괜찮은 편이지만요. 심한 건성피부 외에는 무난히 사용할 수 있을 것 같으나 저에게는 크게 좋지도 나쁘지도 않은 무난한 토너입니다.
59,리얼 히알루로닉 100 토너,쀼빗,25세,지성,여,3,닦토로 쓰기 좋아요 무향이라 거부감 느껴지지도 않고 사용감도 시원해요! 자극없이 데일리로 무난히 사용하기 좋았어요 물타입이라 끈적거리지 않아서 지성피부한테 딱이에요 근데 보습감은 거의 없는듯 해요
60,리얼 히알루로닉 100 토너,힘드렀돠,34세,건성,여,3,단 1회 사용으로 피부 20층까지 흡수되는 보습용 속건조 토너라길래 토너에게 대단한 보습을 바라지는 않지만 평이 너무 좋아서 구매! 사용해 보니 가벼운 물제형이라 흡수 빠른 건 좋았지만 그만큼 가벼워서 속당김은 커녕 겉당김(?)조차 타격없는 미미한 존재감 그냥 물이랑 뭐가 다른건지 제가 강철 피부인건지 피부가 사실 200층까지 있는건지… 건성은 추천 안하고 결정돈/닦토 용으로는 좋아보여요
61,리얼 히알루로닉 100 토너,밥바미,26세,복합성,여,3,무난 수분 토너로 추천 ! 순하고 딱히 토너를 바르고 나서 수분이 충전됐다..?라는건 잘 못 느꼈어요ㅠ 닉값을 좀 못하는듯..
62,리얼 히알루로닉 100 토너,홍설탕,36세,민감성,여,3,물 같은 토너입니다 두번 정도 사용했는데 피부가 붉어지고 조금 따가웠어요 촉촉하지만 저랑은 안맞나 봅니다 
63,리얼 히알루로닉 100 토너,Elf,28세,중성,여,3,샘플 두 통 받아서 한 통 다 쓰고 나머지 하나도 사용 중인데 처음엔 굉장히 별로라 생각했음 바르다보면 끈적임이 심해서 톡톡 두드릴때면 쩌억쩌억 붙는 느낌이길래 별 두 개 줬었는데 빠르게 바르고 끝내면 괜찮음 성능 자체는 무난하지만 기초는 피부에 문제만 없어도 평타는 치고 들어간다 생각해서 별 하나 더 올림
64,리얼 히알루로닉 100 토너,jeens,40세,민감성,여,3,웰라쥬 토너도 굿이네요 ㅋㅋㅋ 촉촉하니 건성이신분 쓰기 딱 좋을것 같아요 특별히 트러블도 없이 순하게 잘맞아요 ㅎㅎ
65,리얼 히알루로닉 100 토너,에헤라자데,34세,건성,여,3,"글픽에서 샘플링 이벤트로 받았습니다.  감사하긴 한데 하 근데 여름에 주셨으면 조금 더 좋았을 뻔 했어요..ㅋㅋㅋ 오일감 유분감 1도 없는 진한 물(?) 느낌이어서 돌아서는 순간 건조해짐..ㅋㅋ 저만 그런지 모르겠는데 예전에 썼던 히알루론산 다른 제품도 그랬지만, 히알루론산 토너는 원래 피부가 촉촉할 때는 그 촉촉함이 오래 유지되는데 이미 건조해진 피부에서는 발라도 별 효과가 없는 것 같아요..  그래도 속건조가 찾아오는 에센스 바르기 전에 이거 먼저 바르니까 속건조가 좀 덜 생기는 느낌이긴 했어요. 저는 웰라쥬 토너말고 앰플을 써야 겠어요 허헣헣 "
66,리얼 히알루로닉 100 토너,딸기쿡,28세,건성,여,3,챱챱토너로 발라주는데 마무리감이 촉촉하지는 않아서 그냥 무난했던거 같아용 좋은점도 없고 나쁜점도 딱히 없는? 찐 무난템
67,리얼 히알루로닉 100 토너,니2,32세,민감성,여,3,에센스 잘쓰고있어서 추가로 토너구입해봤어요. 줄줄 흐르는 워터리한 제형이지만 히알루로산이라 그런지 완전 찰랑하고 가벼운 느낌은 또 아니에요. 한번으론 부족하고 두번세번 레이어링하는데 그렇다고 후다닥 바르기엔 부담스러워요ㅠㅠ차분히 시간을 두고 두드려가면서 얹어내야 깔끔하게 스킨케어가 가능해요. 향도 없고 순해서 막 나쁘진않은데 크게 좋지도 않아용;
68,리얼 히알루로닉 100 토너,감자보단고구마,28세,복합성,여,3,무향인 제품만 쓰는데 무향이라 좋았습니다 샘플이긴 하지만 용량이 넉넉한 편이었습니다 사실 드라마틱한 효과는 없었어요 그냥 무난무난한 토너
69,리얼 히알루로닉 100 토너,Rosie.로지,27세,지성,여,3,"샘플로 두 병 정도 사용했었습니다. 흐르는 물 제형이었고 향은 무향이었습니다. 쓰고 나니까 피부 속에 수분감을 채워주는 느낌이 들었어요. 그래서 데일리로 쓰기 좋고 무난한 제품이었습니다. 자극적이지 않아 좋았고, 근데 요즘 나오는 제품들 다 자극 없고 순한 계통의 제품들이어서 크게 장점이 될 순 없을 듯합니다. 저한텐 비교적 무난했습니다. 개인차는 있을 수 있으니 주의해주세요."
70,리얼 히알루로닉 100 토너,룡룡죽겠지,38세,민감성,여,3,그냥 무난하게 사용 가능한 토너에요  흐르는 물같은 제형이라 닦토며 흡토등 다양하게 사용 가능한점은 좋았구요 워낙 유명한 제품이라 기대가 많았는데 사용하기딱 무난한 정도였어요 무향에다 자극이 별로 없던 점은 좋았던것 같아요
71,리얼 히알루로닉 100 토너,쿠오우,21세,복합성,여,3,복합성인 저에게는 솔직히 수분을 주긴하지만 속건조까지 수분을 주지 않아서 좀 실망스러웠어요ㅜㅜ 하지만 여행용으로 사용하기 좋고 무난하게 사용하기 좋은 상품 같아요
72,리얼 히알루로닉 100 토너,레이아나,33세,건성,여,3,샘플받아서 써봤는데 무난무난해요 근데 트러블 올라왔는데 제가 생리기간이라 애매해서 끝나고 다시 써보려구요
73,리얼 히알루로닉 100 토너,포도농장,33세,건성,여,3,히알루로닉 100이라고 해서 물제형이어도 엄청 쫀득하고 촉촉하게 마무리되는 토너일 거라 기대했는데 생각보다 라이트하고 닦토에 가까운 느낌으로 마무리되네요 향은 무향이고 자극도 없는 편인데 또 엄청 촉촉하지도 않아서 애매한 느낌의 토너..? 엄청 매력적이진 않고 그냥 흔한 물토너 정도라고 느껴지네요
74,리얼 히알루로닉 100 토너,꽈리,33세,지성,여,3,기존에 제가 쓰고있던 토너보다 묽어서 보습력이 좋은지 크게 느끼지 못했습니다. 닦토로 사용하기는 깔끔해서 좋았지만 촉촉한 느낌은 부족한 것 같아요. 흡수력이나 순간의 보습은 잘 되는것 같으나 저같은 경우는 여름에 사용하거나 닦토용도로 사용하는 제형입니다. 가벼운 스킨토너의 느낌이에요. 엄청 무난하고 편하게 사용하기 좋은데 겨울에는 보습이 조금 아쉬운 제품이네요. 그래도 차갑게 해서 여름에 스킨 팩하기 좋을 것 같아요. 
75,리얼 히알루로닉 100 토너,DALJA,40세,건성,여,3,물토예요 솜에묻혀 촵촵해주었습니다.  저는 생각보다 속건조가 잡히지는 않더라구요 가볍게 마무리되는 토너입니다.  저처럼 많이 건조하신분들은 몇번 더 레이어링해주셔야 할거같습니다. 다음단계 스킨케어하는데에는 무겁지않아 그 점은 좋았습니다
76,리얼 히알루로닉 100 토너,mnpcpcapc,28세,중성,여,3,당첨해서 사용해봤습니다. 한.두번 사용했지만 효가는 잘 모르겠어요…  1주일정도 써볼게요!
77,리얼 히알루로닉 100 토너,리뷰관리자,25세,지성,여,3,진짜 그냥 물 같은 신기한 토너… 진짜 물 바르는 것처럼 향도 거의 없고 보습감도 최소한으로만 있다. 트러블 유발 없어서 좋고 스킨케어 가볍게 바르고 싶은 날 쓰기 괜찮음. 근데 단독으로는 지성인 나도 좀 건조할 듯.
78,리얼 히알루로닉 100 토너,gimo,24세,복합성,여,3,미스트로 쓰면 좋을 토너! 수부지 복합성 피부에게 -세수 후 첫단계에 피부 메마르지 않도록 수분 보충해주는 제품!  -댕기지 않게끔 속건조 잡아줌! -속건조만 잡아주는 정도라 촉촉한 사용감을 기대하긴 어려움! 대신 산뜻한 마무리감으로 가벼운 거 좋아하시면 추천! -닥토나 미스트로 쓰기 좋을 듯!
79,리얼 히알루로닉 100 토너,글로우로글,35세,복합성,여,3,웰라쥬 앰플 직접 써보진 못했지만 속건조에 좋다는 얘기 엄청 들어서 토너도 궁금해서 신청해봤어요 오자마자 써봤는데 그냥 일반 물토너랑 다른건 잘 모르겠..... ㅎㅎㅎ  히알루론산이 들어서 조금 점성이 있을꺼라 생각했는데 완전 그냥 물이예요 찹토로 두번 레이어링 해줬는데 큰 차이는 못느끼겠어요
80,리얼 히알루로닉 100 토너,진숙8150,55세,중성,여,3,샘플은 첨으로 받았보았네요 그냥 물처럼 깨끗한 느낌 이였고 피부에바르니 끈적함도 없고 매끈하게 피부에 스며드는게 좋았어요 그리고 부드럽고 촉촉하게ᆢ 화장품 토너 샘플 케이스가 고급스러운게 좋아어요
